ID_REF	VALUE
syc0879-m_at	5513.444629
syc0880-h_at	9018.73214
syc0881-h_s_at	6049.817349
syc0882-m_at	2092.931195
syc0883-m_at	1489.91863
syc0884-m_at	233.2903171
syc0885-h_at	160.3648156
syc0886-m_at	206.7210452
syc0887-m_at	5351.180548
syc0888-h_at	395.656451
syc0889-h_at	3594.780371
syc0890-h_at	212.0947768
syc0891-m_at	383.9691923
syc0892-m_at	209.1091312
syc0893-h_at	150.6081149
syc0894-h_at	1379.203781
syc0895-m_at	1283.498287
syc0896-m_at	374.0639805
syc0897-m_at	6870.788884
syc0898-m_at	5809.946372
syc0899-m_at	4538.601234
syc0900-m_at	5323.019895
syc0901-m_at	8165.05377
syc0902-m_at	5068.401444
syc0903-h_at	1038.165068
syc0904-h_at	531.0533088
syc0905-h_at	196.6838222
syc0906-h_at	1215.594107
syc0908-h_at	493.8861598
syc0909-h_at	203.6879673
syc0910-h_at	443.7884038
syc0911-h_at	799.2611513
syc0912-h_at	481.2622106
syc0913-h_at	880.6288791
syc0914-h_at	900.1437968
syc0915-h_at	2282.915127
syc0916-m_at	228.695195
syc0917-h_at	244.1408173
syc0918-h_at	308.2912896
syc0919-m_at	513.6246547
syc0920-m_at	170.9335417
syc0921-m_at	832.5362414
syc0922-h_at	204.2498246
syc0923-h_at	246.527591
syc0924-h_at	526.506528
syc0925-h_at	678.6229187
syc0926-h_at	703.5592713
syc0927-m_at	168.2656227
syc0928-m_at	171.6609419
syc0929-h_at	3220.140826
syc0930-m_at	2217.802804
syc0931-m_at	608.2685816
syc0932-m_at	151.4710253
syc0933-m_at	319.9267993
syc0934-h_at	2997.953046
syc0935-m_at	377.0209765
syc0936-h_at	148.218179
syc0937-m_at	1593.715628
syc0938-m_at	518.6087813
syc0939-m_at	660.4543667
syc0940-m_at	212.9196329
syc0941-h_at	469.2847991
syc0942-h_at	693.8985719
syc0943-h_at	656.8742763
syc0944-m_at	544.1666427
syc0945-h_at	464.9411578
